X,Y
-77.55418042,34.42453988
-77.55056202,34.42720841
-77.54694362,34.42987694
-77.54332522,34.43254547
-77.53970682,34.435214
-77.53608841,34.43788253
-77.53247001,34.44055106
-77.52885161,34.44321959
-77.52523321,34.44588812
-77.52161481,34.44855665
-77.51799641,34.45122518
-77.51434756,34.45383645
-77.51011184,34.45534396
-77.50587613,34.45685147
-77.50164041,34.45835897
-77.49727174,34.45938874
-77.49286622,34.46028611
-77.48846069,34.46118348
-77.48405517,34.46208085
-77.47964965,34.46297821
-77.47524413,34.46387558
-77.47083861,34.46477295
-77.46652336,34.46595199
-77.46241691,34.46778255
-77.45831046,34.46961311
-77.45420401,34.47144367
-77.45009757,34.47327424
-77.44599112,34.4751048
-77.44188467,34.47693536
-77.43777822,34.47876592
-77.43367177,34.48059648
-77.42956532,34.48242705
-77.42545887,34.48425761
-77.42135242,34.48608817
-77.41724597,34.48791873
-77.41313952,34.48974929
-77.40903307,34.49157986
-77.40492663,34.49341042
-77.40082018,34.49524098
-77.39671373,34.49707154
-77.39260728,34.4989021
-77.38850083,34.50073266
-77.38460386,34.50293028
-77.38093911,34.50553479
-77.37727436,34.5081393
-77.3736096,34.51074381
-77.36994485,34.51334832
-77.3662801,34.51595283
-77.36261535,34.51855734
-77.3587564,34.52081514
-77.35438674,34.52119351
-77.35274365,34.52461557
-77.35407297,34.52867397
-77.35718693,34.53191698
-77.3603009,34.53515999
-77.36341486,34.538403
-77.36652882,34.54164601
-77.36964279,34.54488902
-77.37275675,34.54813203
-77.37537084,34.55141013
-77.37274043,34.55505633
-77.37011001,34.55870253
-77.36747959,34.56234873
-77.36484917,34.56599493
-77.36221875,34.56964113
-77.35958834,34.57328733
-77.35695792,34.57693354
-77.35346552,34.57443477
-77.34993343,34.57165301
-77.34640133,34.56887125
-77.34286924,34.56608949
-77.33933715,34.56330772
-77.33561865,34.56126008
-77.3311873,34.56201974
-77.32675596,34.5627794
-77.32232462,34.56353906
-77.31790899,34.56434226
-77.31401334,34.56658677
-77.31011769,34.56883129
-77.30622205,34.5710758
-77.3023264,34.57332031
-77.29843076,34.57556482
-77.29453511,34.57780933
-77.29030803,34.57923968
-77.28595239,34.58035426
-77.28159674,34.58146883
-77.27750146,34.58331493
-77.27342103,34.58520279
-77.26934061,34.58709066
-77.26526019,34.58897853
-77.26117977,34.59086639
-77.25709935,34.59275426
-77.25315793,34.59483314
-77.25010651,34.59813507
-77.24705509,34.60143699
-77.24400367,34.60473892
-77.24095225,34.60804085
-77.23790083,34.61134277
-77.23484941,34.6146447
-77.23179799,34.61794663
-77.22874657,34.62124855
-77.22569515,34.62455048
-77.22264373,34.62785241
-77.21959231,34.63115434
-77.21654089,34.63445626
-77.21348947,34.63775819
-77.21043806,34.64106012
-77.20738664,34.64436204
-77.20433522,34.64766397
-77.20119726,34.65084316
-77.1970622,34.65260813
-77.19292713,34.65437309
-77.18879206,34.65613806
-77.184657,34.65790303
-77.18052193,34.659668
-77.17638686,34.66143296
-77.1722518,34.66319793
-77.16862977,34.66581949
-77.16803574,34.66927863
-77.17002428,34.67331095
-77.17201282,34.67734327
-77.17400136,34.68137558
-77.17570612,34.68545481
-77.17512104,34.68991257
-77.17201876,34.691848
-77.16755983,34.69242404
-77.16394751,34.69032011
-77.16062871,34.68728705
-77.15780262,34.68379821
-77.15503671,34.68025368
-77.15102056,34.67834573
-77.14689112,34.67781423
-77.14279663,34.67967138
-77.13870213,34.68152852
-77.13528062,34.68426887
-77.13240362,34.68772384
-77.12952663,34.6911788
-77.12712757,34.69491587
-77.12549309,34.69910423
-77.12385862,34.70329259
-77.12222414,34.70748095
-77.1183146,34.70800686
-77.11383563,34.70761607
-77.10935667,34.70722529
-77.1048777,34.70683451
-77.10039873,34.70644372
-77.09591976,34.70605294
-77.09144079,34.70566216
